change_type,author,datetime,chapter_h1,snippet,words,dt
Insertion,Aaron Johnson,2025-04-21T01:49:00Z,– Data & Methods,aids interpretation and communication .,5,2025-04-21 01:49:00+00:00
Insertion,Aaron Johnson,2025-04-21T01:50:00Z,– Data & Methods,While acknowledging limitations rel,4,2025-04-21 01:50:00+00:00
Insertion,Aaron Johnson,2025-04-21T01:51:00Z,– Data & Methods,"ated to geographic scope, cross-sectional data, and the challenge of isolating technology effects amid powerful confounding variables, this methodology provides a robust framework for analyzing nation",27,2025-04-21 01:51:00+00:00
Insertion,Aaron Johnson,2025-04-21T01:52:00Z,– Data & Methods,"The combination of large-scale data analysis, sophisticated statistical techniques, and targeted visualizations enables comprehensive examination of the research questions (RQ1-3) regarding the comple",28,2025-04-21 01:52:00+00:00
Insertion,Aaron Johnson,2025-04-21T01:53:00Z,– Data & Methods,"xtual factors, and public health outcomes across the United States.",10,2025-04-21 01:53:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:06:00Z,– Data & Methods,are defined and,3,2025-04-23 01:06:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:07:00Z,– Data & Methods,considerations,1,2025-04-23 01:07:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:08:00Z,– Data & Methods,in scope,2,2025-04-23 01:08:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:08:00Z,– Data & Methods,:,1,2025-04-23 01:08:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:17:00Z,– Data & Methods,K,1,2025-04-23 01:17:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:17:00Z,– Data & Methods,; f,2,2025-04-23 01:17:00+00:00
Insertion,Aaron Johnson,2025-04-23T01:19:00Z,– Data & Methods,here is an outline of the,6,2025-04-23 01:19:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:35:00Z,– Results & Findings,This chapter presents the,4,2025-04-25 22:35:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:36:00Z,– Results & Findings,empirical findings from the quantitative analysis detailed in Chapter 3 – the primary objective of this research was to investigate the impact of generative AI and robotics adoption in US hospita,31,2025-04-25 22:36:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:37:00Z,– Results & Findings,"ls on county-level healthcare accessibility and outcomes (RQ1), explore the moderating influence of financial and infrastructure factors (RQ2) , and examine potential differences between rural and non",29,2025-04-25 22:37:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:39:00Z,– Results & Findings,F ollowing,2,2025-04-25 22:39:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:40:00Z,– Results & Findings,"the exploratory, quantitative approach using integrated archival data from sources like the American Hospital Association (AHA), County Health Rankings & Roadmaps (CHR)",22,2025-04-25 22:40:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:41:00Z,– Results & Findings,", and various government agencies, this chapter lays out the results of the sta",14,2025-04-25 22:41:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:42:00Z,– Results & Findings,tistical analyses performed.,3,2025-04-25 22:42:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:42:00Z,– Results & Findings,Analysis included integrating hospital-specific technology adoption data,7,2025-04-25 22:42:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:45:00Z,– Results & Findings,"(MO1: Generative AI Capabilities , MO2: Robotics Capabilities) with county-level pu",11,2025-04-25 22:45:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:46:00Z,– Results & Findings,"blic health indicators (DV1: Healthcare Accessibility, DV2: Healthcare Quality, DV3: Operational Efficiency), controlling for policy (IV1: Medicaid Expansion), environmental (IV2: Physical Environment",25,2025-04-25 22:46:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:47:00Z,– Results & Findings,"Health Behaviors Index), and socioeconomic factors (IV4: Social & Economic Factors Index), as well as population and regional variations (Census Divisions). As recommended by the advisory committee an",37,2025-04-25 22:47:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:48:00Z,– Results & Findings,th composite index variables and their disaggregated component variables to provide both parsimonious and granular perspectives.,16,2025-04-25 22:48:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:58:00Z,– Results & Findings,The analysis dataset integrates information from mult,7,2025-04-25 22:58:00+00:00
Insertion,Aaron Johnson,2025-04-25T22:59:00Z,– Results & Findings,"iple sources, anchored by the 2024 American Hospital Association (AHA) Annual Survey, which provided data for 6,166 hospitals across the United States. From this survey, approximately 50 variables wer",30,2025-04-25 22:59:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:01:00Z,– Results & Findings,"under a data use agreement , focusing on hospital demographics (e.g., bed size, admissions, location), staffing, capital expenditures, and specific indicators of generative AI adoption across five dom",35,2025-04-25 23:01:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:02:00Z,– Results & Findings,"system, or partner levels).",4,2025-04-25 23:02:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:03:00Z,– Results & Findings,Hospital-level data was aggregated to the county level and joined with comp,12,2025-04-25 23:03:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:04:00Z,– Results & Findings,"rehensive public health data for 3,143 US counties (excluding territories) using the county Federal Information Processing Standards (FIPS) code. Public health datasources included the University of W",33,2025-04-25 23:04:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:05:00Z,– Results & Findings,"& Roadmaps (CHR), the Centers for Disease Control and Prevention (CDC), the Centers for Medicare & Medicaid Services (CMS), the US Census Bureau, and others as described in Chapter 3.",30,2025-04-25 23:05:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:05:00Z,– Results & Findings,The final,2,2025-04-25 23:05:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:06:00Z,– Results & Findings,"analytical sample is comprised o f these 3,143 counties. A critical step in achieving this comprehensive sample was the handling of counties without hospitals that were present in the AHA dataset (ove",33,2025-04-25 23:06:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:07:00Z,– Results & Findings,"00 counties). As described in Chapter 3, rather than excluding these counties, their technology adoption scores (MO1: Generative AI Capabilities, MO2: Robotics Capabilities) were imputed with zero, ba",46,2025-04-25 23:07:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:09:00Z,– Results & Findings,This approach preserved the national scope and prevented sample bias to,11,2025-04-25 23:09:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:10:00Z,– Results & Findings,wards counties with healthcare facilities. The total population of these counties represents the vast majority of the US population for the study period,23,2025-04-25 23:10:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:10:00Z,– Results & Findings,.,1,2025-04-25 23:10:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:17:00Z,– Results & Findings,(327 million people,3,2025-04-25 23:17:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:17:00Z,– Results & Findings,),1,2025-04-25 23:17:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:20:00Z,– Results & Findings,covered in the dataset,4,2025-04-25 23:20:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:21:00Z,– Results & Findings,"Prior to analysis, the data u nderwent rigorous screening and preparation as described in Chapter 3",16,2025-04-25 23:21:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:22:00Z,– Results & Findings,. The multi-state process included:,5,2025-04-25 23:22:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:22:00Z,– Results & Findings,"Initial Validation: Source CSV files were inspected for structural integrity (e.g., consistent column counts), “garbage” characters, character set inconsistencies (UTF-8 vs.",21,2025-04-25 23:22:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:23:00Z,– Results & Findings,"UTF-16), and preliminary data type suitability using Microsoft SQL Server tools.",11,2025-04-25 23:23:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:23:00Z,– Results & Findings,Loading and Clea,3,2025-04-25 23:23:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:24:00Z,– Results & Findings,ning: Data was loaded into PostgreSQL using custom multi-threaded Python utilities designed to handle potential file corruption and character encoding issues. Data types were stored as varchar in Post,29,2025-04-25 23:24:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:25:00Z,– Results & Findings,"greSQL for flexibility, with dynamic casting performed within SQL views for calculations and joins.",14,2025-04-25 23:25:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:25:00Z,– Results & Findings,"Normalization: Key identifiers, particularly county FIPS codes, were standardized to a five-digit text format (padding with leading zeros where necessary)",20,2025-04-25 23:25:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:26:00Z,– Results & Findings,using SQL functions to ensure accureate joins across disparate datasets. Capitalization issues were also addressed programmatically.,16,2025-04-25 23:26:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:26:00Z,– Results & Findings,Missing Data:,2,2025-04-25 23:26:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:51:00Z,– Results & Findings,"As detailed in Chapter 3, the final approach involved zero-filling technology adoption scores (MO1, MO2) for counties without hospitals identified in the AHA",23,2025-04-25 23:51:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:52:00Z,– Results & Findings,"data, retaining all 3,143 counties in the primary analysis dataset",10,2025-04-25 23:52:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:53:00Z,– Results & Findings,(,1,2025-04-25 23:53:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:53:00Z,– Results & Findings,the Postgres view called vw_conceptual model ),7,2025-04-25 23:53:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:54:00Z,– Results & Findings,pulled by,2,2025-04-25 23:54:00+00:00
Insertion,Aaron Johnson,2025-04-25T23:54:00Z,– Results & Findings,". For other variables, missing values were handled during the regression analysis phase (e.g., using techniques like listwise deletion specific to the variables required by each model, or imputation w",33,2025-04-25 23:54:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:10:00Z,– Results & Findings,Assumption Checking: Standard diagnostic checks for OLS regression were performed using Python’s statsmodels library.,14,2025-04-26 00:10:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:12:00Z,– Results & Findings,Multicollinearity was assessed as a part of the modeling process described in Ch,13,2025-04-26 00:12:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:13:00Z,– Results & Findings,"apter 3, including measurement of variance inflation factors (VIF) and the generation of correlation matrixes that were examined. Normality of residuals was checked via standard statsmodels out",27,2025-04-26 00:13:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:14:00Z,– Results & Findings,puts (details in Appendix ).,5,2025-04-26 00:14:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:16:00Z,– Results & Findings,"Outliers and influential cases were identified using Cook’s distance and studentized residuals – these cases were reviewed, and visualizations such as parti",22,2025-04-26 00:16:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:17:00Z,– Results & Findings,"al regression plots were used to assess their influence , as discussed in Chapter 3. While numerous potential outliers were flagged, particularly in complex models, they represent counties with unique",41,2025-04-26 00:17:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:18:00Z,– Results & Findings,"rimary analysis to maintain representativeness, with findings interpreted accordingly.",9,2025-04-26 00:18:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:19:00Z,– Results & Findings,"The transformation, imputations and calculations were primarily executed via SQL views within PostgreSQL before populating Pandas dataframes in Python for the r",22,2025-04-26 00:19:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:20:00Z,– Results & Findings,"egression analyses and visualizations ( statsmodels, matplotlib, seaborn, geopandas ).",10,2025-04-26 00:20:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:21:00Z,– Results & Findings,"This section presents the core findings, starting with descriptive statistics of the key variables, followed by the results of the OLS stepwise regression models.",24,2025-04-26 00:21:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:22:00Z,– Results & Findings,Table 4 presents the descriptive statistics for the primary index-level variables used in the vw_conceptual_model dataset (N = 3143,19,2025-04-26 00:22:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:22:00Z,– Results & Findings,),1,2025-04-26 00:22:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:23:00Z,– Results & Findings,", slight variations due to specific variable availability before final imputation / cleaning for modeling",15,2025-04-26 00:23:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:23:00Z,– Results & Findings,.,1,2025-04-26 00:23:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Variable,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,N,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Mean,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Std Dev,2,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Min,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Max,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Median,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Q1,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,Q3,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,dv3_operational_eff,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2133,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,4.16,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,20.28,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,-83.90,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,298.80,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,-7.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,13.18,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,census_division,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3132,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,5.24,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,9.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,5.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,7.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,dv1_healthcare_access,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1327.80,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,591.57,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,-89.77,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,5612.59,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1213.77,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,944.90,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1579.41,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,county_category,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.56,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.51,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,6.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,county_fips,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,30387.57,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,15156.47,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1001.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,56045.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,29176.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,18178.50,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,45079.50,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,iv3_health_behaviors,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,33.38,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,20.35,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.16,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,185.40,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,28.07,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,19.77,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,41.28,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,dv2_healthcare_quality,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,4919.47,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1711.65,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1209.87,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,20577.24,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,4728.54,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3744.10,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,5835.45,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,iv1_medicaid_expansion_active,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.52,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.50,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,iv2_physical_environment,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.19,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.46,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.66,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,4.40,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.25,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.93,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,2.51,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,population,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3132,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,104549.81,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,333726.19,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,50.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,9936690.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,25636.50,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,10825.25,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,67676.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,iv4_social_economic_factors,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,13.69,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.64,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,4.13,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,41.57,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,13.36,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,11.23,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,15.58,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,mo1_genai_capabilities,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.31,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.88,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,5.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,mo2_robotics_capabilities,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3140,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,1.74,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.18,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,15.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,0.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:25:00Z,– Results & Findings,3.00,1,2025-04-26 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-26T00:27:00Z,– Results & Findings,Note: Higher scores for DV1 (Healthcare Accessibility) and DV2 (Healthcare,10,2025-04-26 00:27:00+00:00
